2024-01-19 23:58:39,121 - INFO - Number of regex matches: 255
2024-01-19 23:58:39,124 - INFO - Number of unique pilot IDs in JSON (excluding 'host'): 255
2024-01-19 23:58:39,124 - INFO - JSON integrity check passed: No discrepancies found.
2024-01-20 00:01:26,321 - INFO - Number of regex matches: 255
2024-01-20 00:01:26,321 - INFO - Number of unique pilot IDs in JSON (excluding 'host'): 255
2024-01-20 00:01:26,321 - INFO - JSON integrity check passed: No discrepancies found.
2024-01-20 00:04:13,635 - INFO - Number of regex matches: 255
2024-01-20 00:04:13,635 - INFO - Number of unique pilot IDs in JSON (excluding 'host'): 255
2024-01-20 00:04:13,635 - INFO - JSON integrity check passed: No discrepancies found.
2024-01-20 00:04:13,652 - INFO - Number of regex matches: 180
2024-01-20 00:04:13,653 - INFO - Number of unique pilot IDs in JSON (excluding 'host'): 180
2024-01-20 00:04:13,653 - INFO - JSON integrity check passed: No discrepancies found.
2024-01-20 00:04:13,656 - INFO - Number of regex matches: 172
2024-01-20 00:04:13,664 - INFO - Number of unique pilot IDs in JSON (excluding 'host'): 172
2024-01-20 00:04:13,664 - INFO - JSON integrity check passed: No discrepancies found.
2024-01-20 20:30:10,862 - ERROR - Database error: no such table: Squadron_LCR_Roles
2024-01-20 20:30:10,862 - ERROR - Database error: no such table: Squadron_LCR_Roles
2024-01-20 20:31:29,252 - ERROR - Database error: no such table: Squadron_LCR_Roles
2024-01-20 20:31:29,252 - ERROR - Database error: no such table: Squadron_LCR_Roles
2024-01-20 20:32:18,681 - ERROR - Database error: no such table: Squadron_LCR_Roles
2024-01-20 21:04:59,970 - INFO - Seconds: 42386.873999999996, total: 11.8
2024-01-20 21:04:59,970 - INFO - Seconds: 87618.4, total: 36.1
2024-01-20 21:04:59,970 - INFO - Seconds: 210.048, total: 36.2
2024-01-20 21:04:59,970 - INFO - Seconds: 54946.247, total: 51.5
2024-01-20 21:04:59,970 - INFO - Seconds: 1435465.4490002, total: 450.2
2024-01-20 21:04:59,971 - INFO - Seconds: 7759.34, total: 452.4
2024-01-20 21:04:59,971 - INFO - Seconds: 20087.396, total: 458.0
2024-01-20 21:04:59,971 - INFO - Seconds: 31332.528, total: 466.7
2024-01-20 21:04:59,971 - INFO - Seconds: 130362.03, total: 502.9
2024-01-20 21:04:59,971 - INFO - Seconds: 3511.936, total: 503.9
2024-01-20 21:04:59,971 - INFO - Seconds: 15894.205, total: 508.29999999999995
2024-01-20 21:04:59,972 - INFO - Seconds: 21477.569, total: 514.3
2024-01-20 21:04:59,972 - INFO - Seconds: 5183.677, total: 515.6999999999999
2024-01-20 21:04:59,972 - INFO - Seconds: 10011.462, total: 518.4999999999999
2024-01-20 21:04:59,972 - INFO - Seconds: 1091.084, total: 518.7999999999998
2024-01-20 21:04:59,972 - INFO - Seconds: 8689.942, total: 521.1999999999998
2024-01-20 21:04:59,972 - INFO - Seconds: 13511.256, total: 524.9999999999998
2024-01-20 21:04:59,972 - INFO - Seconds: 7087.85, total: 526.9999999999998
2024-01-20 21:05:27,834 - INFO - Seconds: 42386.873999999996, total: 11.8
2024-01-20 21:05:27,834 - INFO - Seconds: 87618.4, total: 36.1
2024-01-20 21:05:27,834 - INFO - Seconds: 210.048, total: 36.2
2024-01-20 21:05:27,835 - INFO - Seconds: 54946.247, total: 51.5
2024-01-20 21:05:27,835 - INFO - Seconds: 1435465.4490002, total: 450.2
2024-01-20 21:05:27,835 - INFO - Seconds: 7759.34, total: 452.4
2024-01-20 21:05:27,835 - INFO - Seconds: 20087.396, total: 458.0
2024-01-20 21:05:27,835 - INFO - Seconds: 31332.528, total: 466.7
2024-01-20 21:05:27,835 - INFO - Seconds: 130362.03, total: 502.9
2024-01-20 21:05:27,836 - INFO - Seconds: 3511.936, total: 503.9
2024-01-20 21:05:27,836 - INFO - Seconds: 15894.205, total: 508.29999999999995
2024-01-20 21:05:27,836 - INFO - Seconds: 21477.569, total: 514.3
2024-01-20 21:05:27,836 - INFO - Seconds: 5183.677, total: 515.6999999999999
2024-01-20 21:05:27,836 - INFO - Seconds: 10011.462, total: 518.4999999999999
2024-01-20 21:05:27,836 - INFO - Seconds: 1091.084, total: 518.7999999999998
2024-01-20 21:05:27,837 - INFO - Seconds: 8689.942, total: 521.1999999999998
2024-01-20 21:05:27,837 - INFO - Seconds: 13511.256, total: 524.9999999999998
2024-01-20 21:05:27,837 - INFO - Seconds: 7087.85, total: 526.9999999999998
2024-01-20 21:17:39,506 - INFO - Seconds: 42386.873999999996, total: 11.8
2024-01-20 21:17:39,506 - INFO - Seconds: 87618.4, total: 36.1
2024-01-20 21:17:39,507 - INFO - Seconds: 210.048, total: 36.2
2024-01-20 21:17:39,507 - INFO - Seconds: 54946.247, total: 51.5
2024-01-20 21:17:39,507 - INFO - Seconds: 1435465.4490002, total: 450.2
2024-01-20 21:17:39,507 - INFO - Seconds: 7759.34, total: 452.4
2024-01-20 21:17:39,507 - INFO - Seconds: 20087.396, total: 458.0
2024-01-20 21:17:39,507 - INFO - Seconds: 31332.528, total: 466.7
2024-01-20 21:17:39,508 - INFO - Seconds: 130362.03, total: 502.9
2024-01-20 21:17:39,508 - INFO - Seconds: 3511.936, total: 503.9
2024-01-20 21:17:39,508 - INFO - Seconds: 15894.205, total: 508.29999999999995
2024-01-20 21:17:39,508 - INFO - Seconds: 21477.569, total: 514.3
2024-01-20 21:17:39,508 - INFO - Seconds: 5183.677, total: 515.6999999999999
2024-01-20 21:17:39,508 - INFO - Seconds: 10011.462, total: 518.4999999999999
2024-01-20 21:17:39,508 - INFO - Seconds: 1091.084, total: 518.7999999999998
2024-01-20 21:17:39,509 - INFO - Seconds: 8689.942, total: 521.1999999999998
2024-01-20 21:17:39,509 - INFO - Seconds: 13511.256, total: 524.9999999999998
2024-01-20 21:17:39,509 - INFO - Seconds: 7087.85, total: 526.9999999999998
2024-01-20 21:20:46,378 - INFO - Seconds: 42386.873999999996, total: 11.8
2024-01-20 21:20:46,378 - INFO - Seconds: 87618.4, total: 36.1
2024-01-20 21:20:46,378 - INFO - Seconds: 210.048, total: 36.2
2024-01-20 21:20:46,378 - INFO - Seconds: 54946.247, total: 51.5
2024-01-20 21:20:46,378 - INFO - Seconds: 1435465.4490002, total: 450.2
2024-01-20 21:20:46,379 - INFO - Seconds: 7759.34, total: 452.4
2024-01-20 21:20:46,379 - INFO - Seconds: 20087.396, total: 458.0
2024-01-20 21:20:46,379 - INFO - Seconds: 31332.528, total: 466.7
2024-01-20 21:20:46,379 - INFO - Seconds: 130362.03, total: 502.9
2024-01-20 21:20:46,379 - INFO - Seconds: 3511.936, total: 503.9
2024-01-20 21:20:46,379 - INFO - Seconds: 15894.205, total: 508.29999999999995
2024-01-20 21:20:46,380 - INFO - Seconds: 21477.569, total: 514.3
2024-01-20 21:20:46,380 - INFO - Seconds: 5183.677, total: 515.6999999999999
2024-01-20 21:20:46,380 - INFO - Seconds: 10011.462, total: 518.4999999999999
2024-01-20 21:20:46,380 - INFO - Seconds: 1091.084, total: 518.7999999999998
2024-01-20 21:20:46,380 - INFO - Seconds: 8689.942, total: 521.1999999999998
2024-01-20 21:20:46,380 - INFO - Seconds: 13511.256, total: 524.9999999999998
2024-01-20 21:20:46,381 - INFO - Seconds: 7087.85, total: 526.9999999999998
2024-01-20 21:46:13,444 - INFO - Seconds: 42386.873999999996, total: 11.8
2024-01-20 21:46:13,444 - INFO - Seconds: 87618.4, total: 36.1
2024-01-20 21:46:13,444 - INFO - Seconds: 210.048, total: 36.2
2024-01-20 21:46:13,444 - INFO - Seconds: 54946.247, total: 51.5
2024-01-20 21:46:13,444 - INFO - Seconds: 1435465.4490002, total: 450.2
2024-01-20 21:46:13,444 - INFO - Seconds: 7759.34, total: 452.4
2024-01-20 21:46:13,445 - INFO - Seconds: 20087.396, total: 458.0
2024-01-20 21:46:13,445 - INFO - Seconds: 31332.528, total: 466.7
2024-01-20 21:46:13,445 - INFO - Seconds: 130362.03, total: 502.9
2024-01-20 21:46:13,445 - INFO - Seconds: 3511.936, total: 503.9
2024-01-20 21:46:13,445 - INFO - Seconds: 15894.205, total: 508.29999999999995
2024-01-20 21:46:13,445 - INFO - Seconds: 21477.569, total: 514.3
2024-01-20 21:46:13,446 - INFO - Seconds: 5183.677, total: 515.6999999999999
2024-01-20 21:46:13,446 - INFO - Seconds: 10011.462, total: 518.4999999999999
2024-01-20 21:46:13,446 - INFO - Seconds: 1091.084, total: 518.7999999999998
2024-01-20 21:46:13,446 - INFO - Seconds: 8689.942, total: 521.1999999999998
2024-01-20 21:46:13,446 - INFO - Seconds: 13511.256, total: 524.9999999999998
2024-01-20 21:46:13,447 - INFO - Seconds: 7087.85, total: 526.9999999999998
2024-01-20 23:33:45,438 - INFO - Seconds: 42386.873999999996, total: 11.8
2024-01-20 23:33:45,439 - INFO - Seconds: 87618.4, total: 36.1
2024-01-20 23:33:45,439 - INFO - Seconds: 210.048, total: 36.2
2024-01-20 23:33:45,439 - INFO - Seconds: 54946.247, total: 51.5
2024-01-20 23:33:45,439 - INFO - Seconds: 1435465.4490002, total: 450.2
2024-01-20 23:33:45,439 - INFO - Seconds: 7759.34, total: 452.4
2024-01-20 23:33:45,439 - INFO - Seconds: 20087.396, total: 458.0
2024-01-20 23:33:45,439 - INFO - Seconds: 31332.528, total: 466.7
2024-01-20 23:33:45,440 - INFO - Seconds: 130362.03, total: 502.9
2024-01-20 23:33:45,440 - INFO - Seconds: 3511.936, total: 503.9
2024-01-20 23:33:45,440 - INFO - Seconds: 15894.205, total: 508.29999999999995
2024-01-20 23:33:45,440 - INFO - Seconds: 21477.569, total: 514.3
2024-01-20 23:33:45,440 - INFO - Seconds: 5183.677, total: 515.6999999999999
2024-01-20 23:33:45,440 - INFO - Seconds: 10011.462, total: 518.4999999999999
2024-01-20 23:33:45,440 - INFO - Seconds: 1091.084, total: 518.7999999999998
2024-01-20 23:33:45,440 - INFO - Seconds: 8689.942, total: 521.1999999999998
2024-01-20 23:33:45,441 - INFO - Seconds: 13511.256, total: 524.9999999999998
2024-01-20 23:33:45,441 - INFO - Seconds: 7087.85, total: 526.9999999999998
2024-01-20 23:49:25,501 - INFO - Seconds: 42386.873999999996, total: 11.8
2024-01-20 23:49:25,501 - INFO - Seconds: 87618.4, total: 36.1
2024-01-20 23:49:25,501 - INFO - Seconds: 210.048, total: 36.2
2024-01-20 23:49:25,501 - INFO - Seconds: 54946.247, total: 51.5
2024-01-20 23:49:25,502 - INFO - Seconds: 1435465.4490002, total: 450.2
2024-01-20 23:49:25,502 - INFO - Seconds: 7759.34, total: 452.4
2024-01-20 23:49:25,502 - INFO - Seconds: 20087.396, total: 458.0
2024-01-20 23:49:25,502 - INFO - Seconds: 31332.528, total: 466.7
2024-01-20 23:49:25,502 - INFO - Seconds: 130362.03, total: 502.9
2024-01-20 23:49:25,502 - INFO - Seconds: 3511.936, total: 503.9
2024-01-20 23:49:25,502 - INFO - Seconds: 15894.205, total: 508.29999999999995
2024-01-20 23:49:25,502 - INFO - Seconds: 21477.569, total: 514.3
2024-01-20 23:49:25,503 - INFO - Seconds: 5183.677, total: 515.6999999999999
2024-01-20 23:49:25,503 - INFO - Seconds: 10011.462, total: 518.4999999999999
2024-01-20 23:49:25,503 - INFO - Seconds: 1091.084, total: 518.7999999999998
2024-01-20 23:49:25,503 - INFO - Seconds: 8689.942, total: 521.1999999999998
2024-01-20 23:49:25,503 - INFO - Seconds: 13511.256, total: 524.9999999999998
2024-01-20 23:49:25,503 - INFO - Seconds: 7087.85, total: 526.9999999999998
