PilotID, PilotName,Active
0d091545902a7878ce1f90e114390dd1,Goose4291,
86f1da13f0accb1b9987d3f906241c2c,№20 | KillerDog,
0a90106176addad7da16870d83513e90,kifli,
d167552c2c6466e4ce1ce8e156a2b5fc,WidowMaker,
c5ee9eef26f08d654a01261475009836,JTFF | Zanck' | VMFA 314,
915811de9b95ea8f1496085b5a833cb5,JSW= SKUBAA,
b564266749ac14a3fe3e5df7d29cf243,WiFi 1-1 | Blythee,
af052d37437161079cbb63979215eb18,OBrien,
e78d9437dbba3a8bc254fba991dbb3c8,Catchey,
115fed4a1dd290176f772ab21afc88e0,Hammer 1-4| [VAF]Biscuit,
348312498b0f7cad5e9ce84c708ecdd2,{TFT} Ghost#751,
e7b92d0f806ff616c4b27b06fe2234d9,Kaiser 1-2 41Sqn Russ,
255deb9bed096e477602362e714d67f5,Chaos 3-2 | Pistol,
e5ad0b08b97038d7c064b3d64943a324,Plt Off | Liminal,
33088421d26097eef47da9a002488516,JSW=Spanner,
27faf08a6ad0692d6eb7832da31a71ea,JSW=Poncho,
4948e7c311fe6dcfbc1d45ac63bf310f,Birdie,
824e9e3e19b3764ede298720a8b656f4,KAISER 1-2 41Sqn Mike,
ef571126f05ae8b0c0bbe3465c91d310,Chaos 1-2 [FTQ] Monkey,
fd59b3086ac2fd73d0fcca08e5dd13a0,JSW= Cactus,
d6975c2ce812d0e8fdcfe728c5e20f34,JSW=CLAW,
ea2dca05dc204673da916448f77f00f1,JSW= Engines,TRUE
abcd66987f65616ec5f5cfecb18f7c16,Bloodnok,
4636d52df5b6fe799294c1f3887f1585,Chaos 1-1 [FTQ] Revenge,
9ce1bd7252838cd82f16d2da53e6c3d2,KNIGHT 3-2 | Kamsa 730,
641bcbb4c777c560716a76a5232f0002,Dagger 3-2 | Flammeus,
0ed16e2fab622be7be70038750d3f3bf,JSW= Fisher,
534894c6525946fcf1ba1b7f55233590,JSW= Poacher,
0423655c0b20af07ca6adadbb19a9fb0,{TFT} K-dot,
7086694a72c10edea00db7d545df282b,Gremlin 1-1|MrHappy,
1567ed3f9c5512f4160f0f1235b49a6f,№15 | tallkien,
f94e59d80a9b9da02ff078db283f6b75,JSW= Yuri,
f84dc77af2d76f46322cf0ff7d8eb439,E-TF[216] Barracuda,
f44fbb277a06562bc192531155e58d16,RONIN 1-1 41Sqn YOGI,
6a1ed845a1d277ede902de2c5595d21b,Dangerman-AWACS,
7c85a810dc09bb4b18954e891d3648bc,RAMPAGE11 ETF Aspen,
046224b0a3089993f6c9af8801613cb9,Tiffy,
9992194c92046737ddc9f172339e5ad3,Roman 3-1 | Edt,
dedb9132c4529fe6e0b2911e49e82c3a,{TFT} Busta,
891c8993e8fdbcb509aa0dbe2c9fe43e,TRIDENT 1-1 SHAKES =JSW=,
6b7faedbf5e4500cda9efe482cf5d764,JSW= Cactus,
f95a3a2e6e9d498670f654d6b2e7e951,JSW= Dobbie,
fd287e3dabf2b4645499972792ebba30,JSW= Steph,
e2e6a43c642e810f36766e23d81a23bf,210 Dump,
366f6f18abaafd5dc38ca634655f462f,ROMAN 3-2 [FFOL] Puddles,
3a1209f11105dfac5451fbbbf3ceb5db,Fester,
cefee893da4f82cf5bec10c530d80f4b,JSW=Buck,TRUE
6a58a95719d22d4eb14e1544da092cea,MoshyP (Baldrick - 3),
d36fc2fd422bac487872d42b890bcf99,E-TF[108] Jankro,
c2d595080a1600868de832351e96682c,comrade lazko,
7248624f73137d934947745d6379c93a,Spectre,
e3cf472d11adb00506ffe558aebbf856,№15 | Beaver,
0cacbc19770e7c15606c928774a4d691,sollymans,
c153e49b73efbf650cd11ac76f3831df,JSW= RJF,TRUE
3316bca529c797f031d8c54c14a0f5d3,Player,
e698907134a269f5ee2c4155cb589540,DJ,
166d6b587aaf11c5fb9f7c00e24e26d2,Hawk 3-3 | ASourBean,
62d511d6f4f28e7b942d72bdeeb98b63,Chaos 1-3 [FTQ] BMD,
717804a94409494c619322b78e28218b,№15 | Drona,
3990a8e1621a043f257d8f978c11124c,{TFT} Animal,
2cac92e97586f40b6c17bd7a167b5f5a,JTFF | kiloWatt | VF-84,
6fda31086b9ec121dbaa6ffe1ce19968,Tyrant 3-3 | [VAF] Magnet,
c4086be5600d16ddc096b12495edf317,PIRATE 1-1 E-TF Ankou,
06c7c2453832a44216a46cc4accb532d,Lancer 3 [Baby_Face],
7f07b468bce9200c2ed95c41d80a33e9,Jester-3 (104th_Moa),
d386d57de5c66b60b739f55feddab177,Knight 3-3 | 107th Vapor,
8e603ad5faa24e64b7630a4e7ad929e9,Tyrant 3-2 | [VAF] Leech,
269afd7b2f4120a1580230699c6741d3,[BSD] Monkey Vomit,
b7928590583ec207b434e4d77453aed5,Bobcat-1 Lockey,
6c6d992bf3bf77c4ce628c18bde22de7,"Baldrick ""Cmdr"" Gramps",
722cf1692ccaba3c130c29609cbcb823,FS,
7cdda24c9dff09ebf8f2341545cbab22,BENj1sc,
624cc694cfd28f1e49b708bf17d7da52,№15 | Tail,
908e6e90e87d6f8fda2c2ff0f9002aa9,jester 2-2 | jester224,
1ae5c656623ee0792397970e46ed00ad,Mk_IX_Hawk,TRUE
c8a4cdb3b0509f4aa6e7b84838f509c5,Blake,
f90f336e271214e5f4b8f3ecc8fb114c,Ascot 1-1 | AceGoat,
6f510d38485d4c0836a0c53dcaa742df,Hevy | 496,
a305111dd93b0a6f960bb3d7965a897c,Bobcat 3 (Mugs),
6471a13f44ba5bf71cd0597407051959,JTFF/BULLITT/VF84,
300f7304bfba57bccf45fdc1b82d8d9b,Hawk 3-2 | Stathi,
66e4049ecc6c5fe805362d0088023edf,Funky 1-1 | Funky,
937c23088dad300551dde43f5f6e6304,Bobcat-2 (Piers),
c8b5270f6f9955945d0ea51a44cb7bd1,Jake-m1900,
2d4687a1e8563df17d6e7ba5abb0aeeb,Jethro,
f7ca469d1d02fd73da4fb05cdd225963,raVen,
803abf3c05cfa1b2eb7eaf194303b0ef,Actionhero,
30f30ebc24983a7a35d59d2ee6034513,JSW=YANK,
612838be9550b341db74dfd66d43b7f7,JSW=Shorty,
6f784cb7b82e58ea996432664a6d9ba8,Jez,
db0d1a3afa403f1e41991e71ebd9f384,JSWCHRISTIAN,
18f0d336392715972e3a1f0f63ef9654,SHARK 1-1 E-TF[102] Riker,
22e07fcdaab3c6d545e8378bc6f3aabd,Ninja 1-2 [FTQ] Rasin,
a33c40a450ec0355cc518322c6868ad5,Saxon 1-2 - [RED] Yeti,
3dc61d51d243828efa4501c49a06742e,Trident 3-5 | Zulu,
ded40aa53a961bdb7c656e898440bc42,{TFT} Agen7orange >>,
8433bf314f50b089c4a8fb0e540c2698,Ganduwulf,TRUE
d4dfacf7d87e9a24c1f705bb886ab0dd,JSW= PG,TRUE
609cc24bb120294efd385ac790d95de4,COBRA 1-1 Klarkeus,
86e26b6ad1ea51bd7c740e331b9acf5e,Camflip,
f2babbbe46d996465a90be1aa25148f5,Badger,
36d17da910ba947c46daa5bd82df45ac,Kinder,
d0c1a69b6c9a213e843d9778b736e095,Tiger-1 (Sh0rty),
4d6db87376ebe62974f357ba3681773c,{TFT} PlagueDoctor,
e5d4c5716cacd4092a1cbfd45b1c0268,C_Dub,
7b1bbf0c6ff9c93f86e8d3b875123fe4,JSW=repman,
813759da956084866e9e72540e544b68,JSW=Razor,TRUE
ff8ac29385fabb37718ef64097be182b,Funktifino,
404e93017b683843a6b19370dcad28d7,VIGIT 1-2,
2c51d59c5222c001cec75e8c0dbd375a,JSW=Breaklight,
